Median_Household_Income_2018,PCTPOVALL_2018,Percent of adults with a high school diploma only 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,Obesity_prevalence,diabetes_prevalence,COPD_prevalence,Heart disease_number
62109.0,11.8,28.6,39.2,29.1,6.7,4.2,4.7
57002.0,11.4,34.6,23.5,34.4,10.2,6.9,7.7
40828.0,21.6,43.3,13.5,39.2,16.4,12.0,10.4
58380.0,8.5,41.4,16.8,35.9,13.7,10.3,8.5
42475.0,22.5,43.0,14.0,35.3,15.3,12.9,10.3
57971.0,9.0,37.8,17.5,36.7,11.1,7.5,8.1
26936.0,40.5,37.7,6.7,47.4,20.6,12.9,11.4
51161.0,16.3,35.6,17.9,40.6,15.4,12.0,9.8
60034.0,11.2,37.2,26.8,29.5,11.5,9.3,7.7
37211.0,20.6,40.4,10.0,37.7,15.6,11.6,9.5
50427.0,14.7,32.3,21.9,35.4,13.2,10.3,8.6
44467.0,16.0,30.5,22.5,38.6,13.0,8.8,8.8
66716.0,9.3,28.0,26.8,35.1,10.8,8.1,7.3
65163.0,9.0,27.0,40.5,26.2,9.7,7.6,6.7
58375.0,11.3,29.9,33.4,26.2,10.6,7.6,7.9
54814.0,12.3,28.9,26.1,40.4,11.9,7.0,8.2
47412.0,20.9,38.2,17.5,35.8,13.8,8.4,10.1
50054.0,13.4,31.6,26.0,37.2,10.6,7.2,7.2
66681.0,10.3,18.4,36.6,22.1,10.6,7.5,7.9
40741.0,22.8,43.7,12.6,40.5,19.1,11.5,10.7
38704.0,20.9,40.1,15.1,41.8,16.5,15.0,12.0
70974.0,10.2,28.6,29.8,32.2,11.9,7.3,6.3
48614.0,16.5,37.3,18.9,38.9,15.2,12.0,10.1
45458.0,15.3,40.2,10.1,43.4,15.1,13.2,10.5
32321.0,31.1,37.5,11.7,40.5,18.7,16.8,12.9
48315.0,12.3,33.5,22.3,31.8,12.6,9.7,9.3
53187.0,12.5,43.4,15.5,34.6,13.5,10.9,8.8
55295.0,10.7,37.8,20.0,35.9,12.8,8.8,10.0
47625.0,13.3,32.7,23.6,33.5,14.1,9.0,9.8
47032.0,12.4,40.3,16.9,38.2,12.3,8.5,9.5
49060.0,15.1,46.4,11.6,38.2,14.3,12.3,9.3
36987.0,19.0,37.2,14.5,42.6,18.4,10.7,10.2
62175.0,10.3,32.6,31.5,31.4,12.2,8.4,8.8
36869.0,25.4,39.6,14.4,38.2,17.1,11.2,10.3
54915.0,10.1,34.2,17.7,33.7,11.2,8.8,7.9
55327.0,14.8,36.8,13.7,35.5,9.9,7.6,6.5
50539.0,13.5,31.3,17.7,38.9,15.1,7.8,8.4
36624.0,32.7,40.9,14.2,41.0,17.2,11.8,9.9
44276.0,18.9,23.8,18.6,38.5,15.8,6.5,7.9
52660.0,12.2,46.1,16.3,33.2,12.7,9.8,8.4
61560.0,12.1,28.8,16.3,37.2,13.1,6.6,7.0
34297.0,31.9,45.9,8.4,41.0,18.4,11.5,10.2
48747.0,22.3,22.3,38.5,33.0,12.1,7.1,6.4
50646.0,13.1,41.5,17.5,39.1,13.1,9.2,9.0
40569.0,16.2,35.1,20.2,27.4,14.2,9.6,10.6
45156.0,14.7,38.6,15.6,37.3,12.6,9.0,9.4
67498.0,8.1,30.7,27.8,33.5,11.6,8.3,7.6
100184.0,6.5,19.5,53.0,23.8,8.2,4.9,5.5
49073.0,13.9,44.3,13.9,35.8,13.6,10.9,9.8
35047.0,25.2,37.1,10.0,38.0,15.3,13.1,11.3
36044.0,22.3,42.6,11.3,39.3,17.8,15.1,13.5
40808.0,14.8,40.2,13.2,38.6,14.0,11.3,9.6
44565.0,17.9,43.4,16.0,37.5,14.3,10.4,9.9
73971.0,8.8,23.9,29.8,32.1,9.6,5.9,6.1
78777.0,11.5,18.4,38.1,24.1,9.6,5.1,5.3
45278.0,15.0,34.9,21.8,41.1,15.4,12.7,10.2
44517.0,15.1,37.5,19.4,37.6,16.3,11.4,11.2
46312.0,14.4,37.2,13.6,36.4,11.5,7.3,8.4
56781.0,14.1,27.9,9.5,38.6,14.1,7.5,7.7
41268.0,22.4,31.6,12.0,40.8,16.1,8.8,9.2
53947.0,11.8,39.7,18.7,39.8,12.2,9.9,8.3
50031.0,14.9,37.4,18.5,35.3,14.2,10.3,10.0
47482.0,12.8,38.3,21.3,27.3,11.5,8.4,9.0
108421.0,5.4,22.5,39.8,30.9,9.0,5.3,5.0
32780.0,35.2,37.1,13.7,45.7,18.2,11.9,12.8
45966.0,13.7,31.9,19.1,40.6,12.6,8.3,8.2
66171.0,8.9,31.1,26.9,31.2,11.5,8.7,7.5
33111.0,37.1,37.2,14.6,44.7,16.7,10.1,9.0
55517.0,13.2,37.3,22.9,35.1,10.9,8.8,7.4
72400.0,8.7,21.3,35.7,29.6,9.8,5.9,6.3
37911.0,23.7,35.9,12.8,39.9,17.4,9.4,10.3
59975.0,10.9,30.3,31.0,29.1,9.2,6.3,6.5
53369.0,14.0,34.3,17.3,36.4,13.3,9.0,9.9
93462.0,6.1,26.8,35.9,29.7,9.9,6.5,6.3
36192.0,22.5,45.4,10.8,39.5,17.0,14.6,11.6
74686.0,8.7,23.5,29.9,29.9,12.4,7.3,6.9
68984.0,8.7,32.3,21.0,28.2,11.1,8.1,6.9
46058.0,19.6,29.0,27.2,38.5,16.6,9.6,9.8
48024.0,14.5,44.0,15.1,35.2,14.5,11.5,9.6
57548.0,10.8,37.0,18.1,38.7,11.8,8.3,9.1
38121.0,21.9,33.9,20.1,45.4,17.9,10.1,9.4
50285.0,13.2,32.2,23.6,35.0,14.1,10.1,9.6
42568.0,19.7,36.4,13.5,41.9,14.7,9.5,8.3
74456.0,11.1,23.6,46.5,23.9,7.9,5.6,5.8
35292.0,28.2,26.3,22.7,33.2,16.7,7.1,8.7
43731.0,15.5,43.0,18.0,33.5,12.7,10.4,9.3
48566.0,11.0,32.4,24.5,36.5,13.1,8.6,9.4
37401.0,21.4,37.7,16.0,41.3,16.1,10.1,9.1
52532.0,15.2,27.6,25.9,33.5,7.9,6.1,4.8
45700.0,20.4,32.7,19.1,38.5,13.5,10.0,10.0
27859.0,34.7,37.8,21.8,40.4,18.9,9.9,9.3
64245.0,9.2,25.6,38.6,30.0,12.1,8.5,8.8
53522.0,15.3,34.8,20.5,35.3,13.9,9.9,9.5
45341.0,21.5,27.6,10.8,39.0,13.7,5.7,6.7
82048.0,5.7,25.1,37.8,33.7,9.4,6.6,5.9
43651.0,17.7,44.8,12.5,39.0,14.5,12.4,10.2
59913.0,9.6,34.1,23.4,32.6,10.3,6.3,7.8
38430.0,19.8,34.1,15.5,40.6,19.6,11.3,11.2
74872.0,9.0,36.7,23.1,32.6,10.4,8.3,7.4
76792.0,8.8,28.3,23.1,36.4,11.8,6.8,6.4
49956.0,15.1,41.6,17.0,37.4,11.9,8.1,8.7
41036.0,23.3,52.3,10.6,36.5,17.6,11.2,9.9
33566.0,23.4,45.8,13.4,45.4,18.2,11.8,10.8
50122.0,14.2,33.6,20.9,38.2,15.0,8.9,8.5
51113.0,12.7,41.7,13.6,36.7,12.9,11.0,9.5
50467.0,11.8,26.0,31.7,30.6,13.6,9.5,10.2
46176.0,14.8,31.4,20.6,37.8,13.5,9.1,8.7
91028.0,5.2,25.6,39.2,27.2,9.8,6.5,6.5
48460.0,14.9,35.7,18.5,34.8,14.7,9.8,10.3
49532.0,12.0,40.6,20.8,31.8,13.0,9.1,9.8
38409.0,24.9,22.6,27.5,32.1,12.8,6.4,6.9
62238.0,10.6,42.2,15.9,35.8,10.8,9.1,7.3
61995.0,10.0,37.3,26.7,39.7,12.6,10.0,8.7
57383.0,16.8,19.4,52.7,22.1,7.8,5.9,5.4
80231.0,7.7,19.9,47.1,24.4,9.1,6.7,6.6
48384.0,15.3,34.2,16.4,35.3,15.1,10.3,10.6
50123.0,11.5,36.0,20.2,32.6,11.3,6.8,8.7
59408.0,13.0,23.6,30.4,32.3,9.8,6.5,6.5
65793.0,8.3,37.8,20.1,33.4,10.5,7.4,6.1
56590.0,13.0,33.4,22.5,34.9,12.0,8.1,7.7
48763.0,22.2,26.0,14.3,35.0,13.1,7.4,6.9
53901.0,11.9,45.5,16.8,31.9,12.4,9.1,8.4
34047.0,26.9,41.7,12.4,40.9,19.1,12.6,11.5
43887.0,17.9,38.3,15.5,38.3,15.5,10.8,10.3
53853.0,9.5,48.6,14.7,38.9,13.3,10.3,8.9
75534.0,7.1,31.4,29.6,31.6,11.5,8.2,7.0
38537.0,23.9,23.5,21.3,38.1,15.2,9.8,10.1
41534.0,17.8,38.9,14.7,33.9,14.4,11.1,10.6
68900.0,7.5,18.2,48.6,22.7,9.6,6.3,7.3
44409.0,16.2,33.4,22.7,37.5,15.9,9.8,11.0
74019.0,7.2,20.9,46.5,23.3,8.3,5.6,6.0
51393.0,15.5,30.5,24.2,33.7,12.2,6.6,7.1
51030.0,12.3,45.7,15.8,35.3,13.0,10.3,8.8
47648.0,15.1,51.8,12.5,32.5,13.2,10.4,9.4
57193.0,11.6,42.7,19.4,38.0,12.9,9.9,7.9
54282.0,9.7,43.1,15.4,35.4,11.5,7.8,8.5
51343.0,13.1,22.7,35.1,35.4,16.4,8.7,10.7
43819.0,16.5,34.3,23.6,35.2,13.8,9.1,9.8
33701.0,28.1,37.4,12.8,42.9,18.1,15.5,12.4
41807.0,18.2,37.7,18.9,39.2,15.2,12.2,10.2
33171.0,35.0,36.5,10.1,43.8,18.3,7.5,8.9
44502.0,16.7,26.7,30.5,30.4,11.5,8.6,8.1
44302.0,18.4,37.3,16.9,35.6,14.7,11.4,9.5
57005.0,15.4,38.1,17.5,34.7,12.8,9.9,8.4
46785.0,16.9,39.4,16.3,37.5,15.9,12.4,10.2
46486.0,12.4,42.8,16.7,36.7,13.1,10.9,10.1
55893.0,12.7,20.9,41.8,25.3,12.1,7.7,9.4
74794.0,7.0,35.9,23.9,37.2,9.3,6.4,6.6
43159.0,18.8,47.2,17.1,36.4,16.0,12.7,11.0
49242.0,14.9,28.8,32.4,31.3,12.2,9.5,8.2
38156.0,24.3,40.6,14.3,36.6,16.2,11.1,9.6
67135.0,12.9,30.1,31.8,29.3,12.0,6.7,6.6
60734.0,9.4,36.4,21.8,36.4,10.8,7.3,7.3
38318.0,18.8,36.5,10.8,33.9,15.9,12.7,12.5
47528.0,14.8,34.7,23.4,36.0,14.3,11.1,9.5
44726.0,16.8,41.8,15.3,43.7,14.7,11.5,9.3
51751.0,16.9,32.7,26.9,31.3,9.9,8.2,7.0
52018.0,11.4,37.8,18.2,35.7,12.7,10.1,9.2
68432.0,11.6,27.6,31.5,25.3,13.3,6.1,6.2
53134.0,12.9,30.6,29.8,35.9,12.8,9.6,8.4
56500.0,12.5,28.4,20.0,26.9,11.6,8.2,8.3
47835.0,13.4,30.3,23.9,36.9,13.7,9.0,9.4
43911.0,15.6,36.2,19.5,40.4,14.9,10.3,9.6
42897.0,19.1,27.3,26.1,28.6,10.4,6.3,6.4
37350.0,23.7,33.0,12.4,34.6,17.7,12.6,14.5
69562.0,11.6,30.6,35.9,33.1,11.2,6.4,5.8
44348.0,23.1,31.5,23.7,37.8,14.6,8.8,7.9
36471.0,20.0,34.3,12.8,36.8,16.9,11.9,11.1
42571.0,18.6,38.3,12.7,40.5,15.4,13.4,10.7
66992.0,10.5,21.2,43.2,29.9,10.4,6.7,6.8
86896.0,6.7,15.7,48.1,22.8,6.9,4.6,4.7
61699.0,11.4,49.0,16.0,35.6,12.7,10.1,8.5
56696.0,11.0,31.1,25.1,34.1,13.1,8.4,8.9
49471.0,20.3,23.5,29.8,26.2,10.3,7.6,7.1
50826.0,12.1,41.1,13.3,35.1,13.5,10.4,9.5
48725.0,14.6,42.8,14.5,36.3,13.9,9.9,9.5
60349.0,12.6,31.6,24.7,39.4,10.6,6.7,6.8
40486.0,16.4,43.9,14.1,36.7,15.8,12.3,12.1
64188.0,7.4,37.7,19.1,37.8,10.6,7.0,7.4
48241.0,14.6,41.0,15.7,36.6,11.9,8.2,8.3
37327.0,18.3,30.6,21.1,39.9,17.0,9.7,9.1
43776.0,14.8,39.4,18.0,36.8,12.8,10.1,8.6
51071.0,16.9,28.1,27.4,36.3,13.5,9.3,8.4
36299.0,27.6,44.0,9.3,34.6,15.5,11.9,10.4
71586.0,8.2,22.3,46.7,24.9,8.7,6.2,6.6
56557.0,13.8,34.4,18.3,36.3,11.7,9.9,8.7
53700.0,10.8,41.3,18.1,36.1,12.4,10.0,8.0
65984.0,9.0,30.6,31.4,29.4,9.9,7.4,7.7
